,season,team,position,player_id
0,2018,ARI,K,00-0004091
1,2018,IND,K,00-0016919
2,2018,NE,QB,00-0019596
3,2018,SEA,K,00-0019646
4,2018,HOU,P,00-0019714
5,2018,NO,QB,00-0020531
6,2018,ATL,K,00-0020578
7,2018,CAR,DL,00-0021140
8,2018,NYJ,QB,00-0021206
9,2018,LAC,TE,00-0021547
10,2018,MIN,DB,00-0022045
11,2018,BAL,LB,00-0022161
12,2018,CAR,DB,00-0022247
13,2018,DET,LS,00-0022455
14,2018,PHI,OL,00-0022531
15,2018,LAC,P,00-0022684
16,2018,ATL,QB,00-0022787
17,2018,NYG,QB,00-0022803
18,2018,ARI,P,00-0022824
19,2018,ARI,WR,00-0022921
20,2018,PIT,QB,00-0022924
21,2018,LAC,QB,00-0022942
22,2018,NO,TE,00-0022943
23,2018,MIA,LS,00-0023173
24,2018,ATL,LS,00-0023177
25,2018,SF,K,00-0023252
26,2018,BUF,LB,00-0023259
27,2018,DAL,LS,00-0023298
28,2018,MIA,DL,00-0023368
29,2018,WAS,QB,00-0023436
30,2018,DEN,DB,00-0023441
31,2018,CAR,LB,00-0023448
32,2018,OAK,LB,00-0023449
33,2018,GB,QB,00-0023459
34,2018,OAK,K,00-0023482
35,2018,MIA,RB,00-0023500
36,2018,KC,P,00-0023534
37,2018,PHI,RB,00-0023564
38,2018,BUF,QB,00-0023645
39,2018,DET,QB,00-0023662
40,2018,TB,QB,00-0023682
41,2018,BUF,P,00-0023742
42,2018,DET,K,00-0023853
43,2018,OAK,OL,00-0023894
44,2018,MIN,DL,00-0024030
45,2018,GB,DB,00-0024061
46,2018,TB,DB,00-0024183
47,2018,WAS,TE,00-0024221
48,2018,PHI,DL,00-0024227
49,2018,HOU,DB,00-0024239
50,2018,GB,TE,00-0024243
51,2018,LA,OL,00-0024270
52,2018,OAK,DL,00-0024306
53,2018,NE,K,00-0024333
54,2018,NO,WR,00-0024334
55,2018,DEN,DL,00-0024338
56,2018,BUF,DL,00-0024348
57,2018,TEN,TE,00-0024389
58,2018,BAL,P,00-0024417
59,2018,ARI,DB,00-0024421
60,2018,WAS,RB,00-0025394
61,2018,NO,WR,00-0025396
62,2018,OAK,RB,00-0025399
63,2018,OAK,DB,00-0025405
64,2018,OAK,DB,00-0025408
65,2018,SF,OL,00-0025415
66,2018,CAR,TE,00-0025418
67,2018,BAL,DB,00-0025424
68,2018,CLE,QB,00-0025430
69,2018,CAR,OL,00-0025446
70,2018,LAC,DL,00-0025472
71,2018,BAL,OL,00-0025473
72,2018,MIN,DL,00-0025489
73,2018,NYG,LS,00-0025503
74,2018,NO,OL,00-0025512
75,2018,PHI,DB,00-0025555
76,2018,NYG,DB,00-0025557
77,2018,GB,K,00-0025580
78,2018,CIN,LS,00-0025630
79,2018,TEN,P,00-0025825
80,2018,TEN,LB,00-0025828
81,2018,CAR,OL,00-0025900
82,2018,BUF,K,00-0025944
83,2018,CAR,LS,00-0026027
84,2018,MIA,WR,00-0026035
85,2018,PHI,DL,00-0026142
86,2018,ATL,QB,00-0026143
87,2018,NYG,RB,00-0026153
88,2018,OAK,DB,00-0026156
89,2018,BAL,QB,00-0026158
90,2018,LA,DB,00-0026160
91,2018,SEA,OL,00-0026166
92,2018,OAK,WR,00-0026176
93,2018,TB,WR,00-0026189
94,2018,JAX,DL,00-0026190
95,2018,KC,QB,00-0026197
96,2018,NYG,OL,00-0026205
97,2018,MIA,DL,00-0026206
98,2018,JAX,RB,00-0026213
99,2018,MIA,DL,00-0026243
100,2018,MIA,OL,00-0026275
101,2018,BAL,DB,00-0026280
102,2018,KC,DB,00-0026283
103,2018,OAK,OL,00-0026290
104,2018,NE,WR,00-0026293
105,2018,WAS,QB,00-0026300
