,season,team,position,player_id
0,2024,SEA,OL,00-0022531
1,2024,NYJ,QB,00-0023459
2,2024,SEA,P,00-0023742
3,2024,ARI,K,00-0023853
4,2024,CHI,TE,00-0024243
5,2024,TEN,K,00-0025565
6,2024,CAR,LS,00-0026027
7,2024,ATL,QB,00-0026143
8,2024,IND,QB,00-0026158
9,2024,MIA,DL,00-0026190
10,2024,BAL,QB,00-0026300
11,2024,LA,QB,00-0026498
12,2024,NYG,K,00-0026858
13,2024,NYJ,P,00-0027114
14,2024,MIA,LS,00-0027187
15,2024,HOU,LS,00-0027224
16,2024,TEN,LS,00-0027557
17,2024,SF,OL,00-0027857
18,2024,PHI,DL,00-0027865
19,2024,BUF,DB,00-0027872
20,2024,HOU,DL,00-0027881
21,2024,DAL,DL,00-0027885
22,2024,BUF,DL,00-0027940
23,2024,NYJ,OL,00-0027947
24,2024,NO,DL,00-0027962
25,2024,PIT,DL,00-0027969
26,2024,CAR,QB,00-0027973
27,2024,NYJ,QB,00-0028118
28,2024,PHI,OL,00-0028129
29,2024,CIN,DL,00-0028171
30,2024,CHI,LS,00-0028284
31,2024,WAS,LB,00-0028292
32,2024,MIN,LS,00-0028394
33,2024,LAC,LS,00-0028845
34,2024,CAR,P,00-0028872
35,2024,CLE,DB,00-0028899
36,2024,SF,DB,00-0028924
37,2024,ARI,LS,00-0028946
38,2024,HOU,QB,00-0028986
39,2024,CLE,LS,00-0029008
40,2024,WAS,LB,00-0029255
41,2024,PIT,QB,00-0029263
42,2024,ARI,OL,00-0029316
43,2024,MIN,DB,00-0029542
44,2024,TB,LB,00-0029562
45,2024,DET,OL,00-0029592
46,2024,BAL,K,00-0029597
47,2024,ATL,QB,00-0029604
48,2024,MIN,DB,00-0029606
49,2024,NO,LB,00-0029607
50,2024,NYJ,K,00-0029621
51,2024,PHI,DL,00-0029653
52,2024,NYG,OL,00-0029685
53,2024,DAL,P,00-0029692
54,2024,LA,OL,00-0029709
55,2024,MIN,LS,00-0029714
56,2024,GB,K,00-0029822
57,2024,SF,RB,00-0029892
58,2024,TB,OL,00-0029895
59,2024,NYG,OL,00-0029963
60,2024,CAR,WR,00-0030035
61,2024,WAS,TE,00-0030061
62,2024,PHI,DB,00-0030062
63,2024,SEA,DL,00-0030063
64,2024,MIA,OL,00-0030067
65,2024,LV,DL,00-0030070
66,2024,BUF,DB,00-0030090
67,2024,BUF,P,00-0030092
68,2024,MIN,OL,00-0030097
69,2024,CLE,K,00-0030098
70,2024,MIA,DB,00-0030114
